Medu,Fedu,studytime,health,absences,G1,G2,G3,Gtotal
4,2,2,4,2,11,11,12,34
5,4,2,1,4,14,15,15,44
2,2,1,5,2,12,13,13,38
5,4,3,4,0,11,12,12,35
4,4,4,3,4,12,12,12,36
5,5,2,3,15,13,12,12,37
3,3,2,4,0,13,13,13,39
3,3,2,5,10,12,11,11,34
5,5,1,3,6,12,11,11,34
4,3,2,1,2,14,16,15,45
5,4,2,1,16,11,9,10,30
4,4,2,4,10,10,10,10,30
3,4,1,3,4,12,13,13,38
3,3,3,4,0,12,12,13,37
3,2,2,5,0,11,10,11,32
2,2,3,5,12,12,12,12,36
3,4,2,3,0,13,13,14,40
3,3,2,4,9,10,9,10,29
5,5,3,5,4,15,16,16,47
4,2,2,4,4,8,8,8,24
4,3,2,3,2,17,18,17,52
3,4,2,3,0,10,11,11,32
3,2,2,3,2,9,10,11,30
3,2,3,3,0,15,15,16,46
5,4,2,3,0,14,12,12,38
3,3,2,1,0,12,13,13,38
5,5,2,2,0,13,13,13,39
5,5,2,1,0,13,13,14,40
2,2,2,5,2,9,9,9,27
4,3,3,2,0,12,12,12,36
3,3,2,4,0,16,16,16,48
3,2,1,5,4,9,10,10,29
5,2,2,5,0,14,13,13,40
3,5,2,3,18,10,10,10,30
3,3,2,5,16,9,8,10,27
4,4,1,3,14,8,7,7,22
3,3,1,1,26,7,8,8,23
5,5,1,5,6,10,8,9,27
4,3,2,3,4,14,14,15,43
2,2,3,4,10,11,10,10,31
2,3,1,5,4,12,11,11,34
3,2,2,3,2,13,13,13,39
2,5,1,5,14,9,9,8,26
3,3,2,2,16,8,7,8,23
3,3,1,1,8,11,9,10,30
2,2,3,5,4,15,14,15,44
5,3,2,4,4,15,14,14,43
5,4,2,5,8,15,15,15,45
5,5,2,4,0,12,12,12,36
5,4,1,3,7,14,14,15,43
5,5,1,5,4,14,15,15,44
5,5,2,5,2,11,11,12,34
2,2,3,1,2,13,14,15,42
4,4,3,5,10,11,11,11,33
2,2,2,4,10,10,9,10,29
3,2,3,3,10,12,10,11,33
3,2,1,4,7,15,16,16,47
2,2,2,5,4,11,10,11,32
3,4,1,2,2,9,12,13,34
4,2,1,1,12,7,8,5,20
4,4,2,5,8,10,9,10,29
1,3,1,5,0,11,12,11,34
4,3,1,5,8,7,8,7,22
4,4,2,2,4,9,11,10,30
3,2,1,5,4,7,8,6,21
3,2,1,3,2,14,13,12,39
3,2,1,5,0,12,12,13,37
2,2,1,5,0,9,10,10,29
3,2,2,5,2,12,12,13,37
5,3,4,4,2,14,15,17,46
3,3,2,5,0,10,10,11,31
3,2,2,5,4,11,10,11,32
5,3,3,5,2,11,12,14,37
2,2,3,3,4,11,12,14,37
3,3,2,5,4,11,11,13,35
5,4,2,1,4,11,13,14,38
3,2,2,4,2,16,16,16,48
3,3,1,4,0,9,10,10,29
3,3,4,2,2,10,11,12,33
3,2,2,2,8,10,12,12,34
5,4,2,2,2,15,15,15,45
5,4,2,3,2,10,10,11,31
4,3,3,3,2,10,11,12,33
4,4,3,4,2,15,12,13,40
3,3,3,3,0,11,12,13,36
3,3,1,4,8,8,8,9,25
4,5,2,1,6,15,16,16,47
4,2,2,5,0,11,11,14,36
5,5,2,4,8,10,11,12,33
5,3,2,5,4,10,12,14,36
3,2,2,3,12,8,9,10,27
4,4,2,5,16,11,12,12,35
3,4,4,2,10,16,16,16,48
2,2,2,3,2,13,13,13,39
2,3,2,1,2,16,17,18,51
3,2,2,1,8,14,14,15,43
3,5,2,1,6,15,16,16,47
3,3,2,5,6,12,12,12,36
4,3,2,5,15,12,9,10,31
5,5,1,3,6,11,12,12,35
5,5,2,4,2,14,12,13,39
3,3,3,1,8,13,15,15,43
4,3,2,3,0,9,8,10,27
5,4,1,1,0,10,10,10,30
2,3,1,4,10,10,10,11,31
5,2,1,5,22,11,11,10,32
4,3,1,3,18,13,13,13,39
2,2,4,3,2,17,17,18,52
2,2,2,4,0,12,13,13,38
3,3,2,5,12,12,12,14,38
3,2,2,5,10,12,13,14,39
2,2,2,4,0,12,12,12,36
3,3,3,2,0,18,18,18,54
2,2,3,3,0,13,13,14,40
3,2,3,2,0,14,15,15,44
5,5,2,2,0,17,17,17,51
5,3,2,5,2,15,16,16,47
5,4,3,3,0,17,18,18,53
4,2,4,3,0,18,19,19,56
4,3,3,4,0,14,15,15,44
4,4,1,5,0,14,15,15,44
5,5,2,2,2,14,13,13,40
5,4,2,2,0,13,14,14,41
5,4,4,3,0,16,17,17,50
5,5,1,1,0,18,18,17,53
5,5,2,4,0,14,15,15,44
5,5,1,5,0,12,13,13,38
5,5,3,5,0,7,7,8,22
5,3,3,3,0,16,16,16,48
4,3,4,5,0,18,18,18,54
3,2,3,5,0,9,10,11,30
4,3,1,5,0,14,15,15,44
4,4,2,5,0,10,10,11,31
2,5,2,5,2,10,10,11,31
3,2,2,1,2,12,12,15,39
3,4,2,3,2,11,12,14,37
5,5,1,5,2,15,16,17,48
5,4,3,5,2,14,15,17,46
5,4,1,1,8,12,12,15,39
4,5,3,5,2,15,15,17,47
4,4,2,3,8,11,12,14,37
5,3,2,1,9,11,10,10,31
5,5,2,5,0,12,11,13,36
4,5,1,1,4,11,12,14,37
5,5,1,5,2,14,15,17,46
5,4,2,5,14,15,14,17,46
4,4,2,5,0,12,12,13,37
3,2,2,2,2,11,12,14,37
5,5,1,5,2,8,9,11,28
2,2,3,5,12,10,10,11,31
2,2,2,4,2,8,8,9,25
3,3,1,5,2,10,10,10,30
3,3,2,3,4,14,13,13,40
3,3,3,3,0,11,11,10,32
4,2,3,5,0,17,18,17,52
1,3,3,2,0,14,14,15,43
2,2,3,2,0,14,14,14,42
5,5,3,3,0,13,14,13,40
4,4,1,5,0,17,18,17,52
3,3,1,4,2,11,10,10,31
5,5,3,4,0,13,12,13,38
5,5,3,4,4,15,14,15,44
4,4,1,5,2,11,12,11,34
3,3,4,5,0,11,11,12,34
4,3,1,5,0,11,10,10,31
3,3,2,2,2,10,9,10,29
3,5,3,5,0,15,15,15,45
3,3,1,5,6,15,14,15,44
4,4,2,4,8,10,11,12,33
3,3,2,2,0,10,9,12,31
3,3,4,4,6,14,13,14,41
4,5,3,5,8,11,13,14,38
4,3,2,2,0,12,13,15,40
4,4,4,1,4,14,14,15,43
4,3,2,2,0,14,14,16,44
5,5,2,2,0,12,12,13,37
4,5,2,5,6,16,16,17,49
3,3,2,4,18,10,12,14,36
3,4,3,3,0,11,12,14,37
4,3,3,1,4,14,16,17,47
5,4,3,4,4,15,14,17,46
5,4,3,5,0,14,13,14,41
5,4,3,4,0,11,12,13,36
3,2,2,1,10,12,15,15,42
3,2,2,4,4,12,16,16,44
3,4,1,5,16,10,11,11,32
4,2,1,3,6,10,13,13,36
5,5,3,5,0,9,12,12,33
3,3,2,3,11,9,11,12,32
4,5,2,2,9,13,14,15,42
3,3,2,4,0,13,17,17,47
5,5,3,4,2,12,15,15,42
5,3,2,3,0,14,17,17,48
2,2,2,4,21,9,10,10,29
2,2,3,3,8,11,15,15,41
5,5,1,5,5,9,10,11,30
4,3,2,5,10,16,18,18,52
4,3,3,2,5,14,17,17,48
3,4,1,4,13,13,14,14,41
3,2,1,4,10,7,11,11,29
3,3,2,4,10,14,17,17,48
2,1,1,5,5,8,10,10,28
4,3,2,1,4,10,13,13,36
